addr,first_tx,funder,funder_date,fund_eth,ntx_first25,cotoken_linked
0x92ade4c3def85b458e83832fd01ed506690dfef7,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.09928,25,False
0xb46d07a07fc9c6317140dd43b1ec482d1a9a7b48,2018-08-06,0xff71522254b49f6ef284ce6bd978fe69cec16348,2018-08-06,0.15,25,True
0x2de7f6a0b94e7f933c07fb1abb5df24111e99881,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.495,25,True
0x94473eaa6161d32b10dee683bf78b691939feef0,2018-08-08,0xeeb2b8ac1d861df3396fcdff32489685beca7497,2018-08-08,0.022,10,False
0x3b13065419d9d35076ca3140e90a11e71e0fd269,2018-08-10,0x6958c3fde1463526b37efde6d36d07bcf2a8d561,2018-08-10,0.103,25,False
0x20d932eee21da57cd7bb357502690b264c5b13d8,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,1.995,25,False
0x7d7595f360f60ba1ed0b8dedc1704af4f291803f,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,1.995,21,False
0x0771c621ddc841ca10fbf55b581abcc4ef1c0a09,2018-08-08,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,2018-08-08,0.295,19,False
0x20ecccfdb6747e21d684625b39ea672ba822d70d,2018-08-20,0xee2ce409e9bfcb9101ff8757e7917a333692a80c,2018-08-20,0.3,25,False
0xf2fbb26ee1028b2aa684db21f8d8bbb9000bafe2,2018-08-06,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,2018-08-06,0.01,25,False
0x2ea2cd5450415cdd0650cd963a5d713b4f63e741,2018-08-09,0x25c6459e5c5b01694f6453e8961420ccd1edf3b1,2018-08-09,0.22301,24,False
0x15d5f2ca0bd1bff82d14817828f55dbf4bd57c7f,2018-08-06,0x73957709695e73fd175582105c44743cf0fb6f2f,2018-08-06,0.09,25,False
0xee53361fb93db76c5a6ad0f88d65364f368edc7f,2018-08-06,0x38d5f35fb46499ed808a9902932405365e4b03f0,2018-08-06,0.031,25,True
0xab23c3094afa331e4cb526bf97706dea6473a899,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.495,25,False
0x837b1966953248ffaa91d2df02379c66448e0c5a,2018-11-05,0xd70295df79ce394372f9812d88ac0778a39dd077,2018-11-05,0.5,25,True
0xdf9e9086825ddb5db2f803b22c8da0990f6ad0bd,2018-08-10,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,2018-08-10,0.995,9,False
0xb656c935f030020695b4e93939cf232ea23256c5,2018-11-05,0x78ed9370e51698e625f76dd84392eabe9fce8b5f,2018-11-05,0.05,6,False
0x13a6b40e1ac80eee643eeb6c55eb88766b095417,2018-08-10,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,2018-08-10,0.79629,6,False
0x3cb8a2c0836209491c43bb9a1f0153a09bf2e887,2018-08-10,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,2018-08-10,0.495,6,False
0xe74976e8b5100095b54877baea15681953ef241a,2018-08-05,0x73957709695e73fd175582105c44743cf0fb6f2f,2018-08-05,0.42,16,False
0xb164d532bd829db8252a997b5a7828609b3014d0,2018-08-07,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-07,0.34318,11,False
0xa6d90cf8268ad9b09f64c075f948ed022b0a92a6,2018-11-05,0xd70295df79ce394372f9812d88ac0778a39dd077,2018-11-05,0.3,25,True
0x064916b3f88d6bd4ac0b124489807c13ec637193,2018-11-06,0xad3038d81afd333b3784f566aa43b58cca0b3995,2018-11-06,0.05,11,True
0x452eb8a59298a710b4bc479900b6657e11ee4c7d,2018-08-06,0x956e0dbecc0e873d34a5e39b25f364b2ca036730,2018-08-06,0.295,12,False
0x25c4ea0a257299e584d22f7b098592ec2bfab789,2018-08-07,0x73957709695e73fd175582105c44743cf0fb6f2f,2018-08-07,0.03,12,False
0x48f338c49900a126fcf4991f9308f07a4db62acd,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.195,25,False
0xcb7c7aaf012c1223eee64de951eaa5ac432e8515,2018-11-04,0xb2a48f542dc56b89b24c04076cbe565b3dc58e7b,2018-11-04,0.33793,25,True
0xda7085e28c2998ae358e96da1a0b6056a09c3515,2018-08-08,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,2018-08-08,0.38887,20,False
0x0056d2a65795020ca8731614806d35b429696320,2018-08-08,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,2018-08-08,1.03514,14,False
0x0b4cebfb9807f81a741184b224221c26b7b09831,2018-08-13,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,2018-08-13,0.255,25,True
0xaded88ac3ec2f52b1a2c88c214bf8812b6fc225a,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.98507,25,True
0x3e00ccb8363f6b5bf0c7cdb60bbd3a2b74af2541,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.995,25,True
0x9e925049611fbd7944716b742047789b98fbc85d,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.495,25,False
0x503ee6bee94bc4e69740c08b20d3eee590664ac9,2018-09-07,0x3ba8e2a7ed8f79adc8e7968f114689e6b45dd699,2018-09-07,0.0743,25,True
0xb7ea0443cb7713c0fa5587c50cd85f1675ba833b,2018-11-05,0x711c41a1c7dce993517233b380c827f148d059a6,2018-11-05,0.1,16,False
0xac317c37dcce05ee4ecc5b87c7e2e8256910c123,2018-08-06,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-06,0.295,25,False
0xb2cfc99f0f602969145c9ee538c9856a7b30c307,2018-08-06,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-06,0.095,18,False
0xd9bae19e850b32acc9951be4b7eb12ec24b8c49c,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.0652,25,False
0x05c2c8bfdf60542d584f945d6a6aa41c3c088582,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.17084,25,True
0xdbc1515bba33ff6e0d26631eb53918dcca5ba10a,2018-08-06,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-06,0.995,25,True
0x388cc2a56b9de3261fccd3a24cdab8bbaac6cdd3,2018-08-08,0x25c6459e5c5b01694f6453e8961420ccd1edf3b1,2018-08-08,0.995,18,False
0x5f3eadcce5195bfc412c789cb55d192c5ba1ad62,2018-08-08,0x89bc1253321733e832252e9fada4a1ef93f1f10f,2018-08-08,0.1891,25,True
0xcc94e85f630a2311486b6c7097dd365a03a4f5d4,2018-08-06,0x7d56f23df591374a446e84b3bc886b6e879aaed7,2018-08-06,0.1,25,False
0xad9066e4698f106765e17cd30b1b2a2f18a81748,2018-08-05,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-05,1.195,25,False
0x21bca9d2552b3b45b49e587be16a70532d6c2565,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.495,25,True
0x5b0f067f17f3b764c34e8718725f19e6327cf42a,2018-11-05,0x8f6d2f421865769e3631d3f8048d280d5c9b711c,2018-11-05,0.02,25,True
0xef6c9f848998e4a0980a8ccda5012082d699152f,2018-08-07,0x25c6459e5c5b01694f6453e8961420ccd1edf3b1,2018-08-07,0.22066,25,True
0x2b0cc30e2fa08c239e2181a250c153fb6054975f,2018-08-07,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-07,0.205,25,True
0x8cffa6a729c00b9f25f8e88354f4656e75029007,2018-08-08,0x73957709695e73fd175582105c44743cf0fb6f2f,2018-08-08,0.14369,12,False
0x231572157fe0b6e8ed200497b41505b3204f8526,2018-08-09,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,2018-08-09,0.3942,11,False
0x89629b5a738cc96000364876460cbab39d23681b,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.995,25,True
0x6eca9cca0ab2173edbb88bacecf32cb531a5fe01,2018-08-06,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-06,0.495,25,False
0x7158f66a988a1c4deaf42afba0a28657a390b537,2018-08-09,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,2018-08-09,0.233,25,True
0x74fa35bd66329e6f4bbb276188848883844ecca3,2018-11-05,0xb2a48f542dc56b89b24c04076cbe565b3dc58e7b,2018-11-05,0.065,25,True
0x9054f2beb69350941ccd3fd1e37c54806c8e200b,2018-08-11,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,2018-08-11,0.295,9,False
0x2fcc4f3b3a46ac85e7390d9a7756a0a4e31cabec,2018-11-04,0x6336db39754339228404ddc3a0724138cba7f4fb,2018-11-04,0.09,25,True
0x7a9400a6aaf86c768eb7cab01d0bff24338b949c,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.03,24,False
0x1c3429d02852d2f34354a116482c230b9984b9f4,2018-08-05,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-05,1.75931,25,True
0xf4224c77a0cbf0549b3c1e466dd0b1016b4859ad,2018-08-07,0x25c6459e5c5b01694f6453e8961420ccd1edf3b1,2018-08-07,0.495,25,False
0xe81e10c775f9a1e56737f5e691af66d493d77a82,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.995,25,True
0x9c4a38293078a44d8ded0618e7a193d692639e76,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.09975,25,False
0xc5b57519fa9f4cb96ce43d8bb8db2a268fa618d6,2018-08-13,0xd10e08325c0e95d59c607a693483680fe5b755b3,2018-08-13,0.08331,16,False
0x25097d7166070ed5a2e07598cf5eb5ec9c0704cf,2018-08-07,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-07,0.245,11,False
0xdf2d0f121a67edcda3e932a5340c5ae3b21eac25,2018-08-09,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,2018-08-09,1.0084,14,False
0x07a3eb59b0805dbc22a78c842998eaaed14dae79,2018-08-06,0xd633a3db4b4ceb445b7026e740eb50d4ed9964e9,2018-08-06,0.12,25,True
0x51df002db7cec8b9a647df175d0b6f2a3cedb2de,2018-08-07,0x9a8c8f2686ad4383dd14bf7ef4bfcb0378d9fc3a,2018-08-07,0.1,25,True
0xbac4731f450e0aef1e2bedf349fc20356633ddb3,2018-08-07,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-07,0.495,14,False
0xaea24f3f190f8b8f9200a9e428bd2e6184ec7192,2018-07-19,0x968a1a49239900c3f01efd6b00fec6c123702f2d,2018-07-19,0.0005,25,True
0xdaaaefa9098e79d065022ba15611480914d3f706,2018-11-05,0x5e02262d232fc6a6d22661b84152feb7d2a294f5,2018-11-05,0.02,25,True
0x8abd46684bbb937b52037752b6fbb234aa03280b,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.995,25,True
0xfaa20db4b0b747ace46c04f77a8f75b32e1c8bea,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.195,25,False
0x7deafd1f7e2248db8ed5f0e1a94594bf902f541e,2018-08-08,0x049eb0385aeb67119ced14f7c862bc98108e1fc2,2018-08-08,1.0,21,False
